epoch,flops,step,train_value_accuracy,train_value_loss
0,807424.0,0,0.15625,1.0992600917816162
0,1614848.0,1,0.15625,1.1057358980178833
0,2422272.0,2,0.09375,1.1087955236434937
0,3229696.0,3,0.0625,1.1042757034301758
0,4037120.0,4,0.140625,1.1009125709533691
0,4844544.0,5,0.078125,1.1065125465393066
0,5651968.0,6,0.171875,1.1004488468170166
0,6459392.0,7,0.0625,1.1029644012451172
0,7266816.0,8,0.09375,1.1023468971252441
0,8074240.0,9,0.125,1.098839282989502
0,8881664.0,10,0.15625,1.1042366027832031
0,9689088.0,11,0.1875,1.095584750175476
0,10496512.0,12,0.109375,1.0990114212036133
0,11303936.0,13,0.140625,1.0995244979858398
0,12111360.0,14,0.125,1.101593255996704
0,12918784.0,15,0.109375,1.107306957244873
0,13726208.0,16,0.171875,1.092956781387329
0,14533632.0,17,0.140625,1.0986340045928955
0,15341056.0,18,0.171875,1.0984299182891846
0,16148480.0,19,0.15625,1.1002073287963867
0,16955904.0,20,0.171875,1.0983803272247314
0,17763328.0,21,0.078125,1.1068886518478394
0,18570752.0,22,0.140625,1.0948169231414795
0,19378176.0,23,0.109375,1.098567247390747
0,20185600.0,24,0.140625,1.099931001663208
0,20993024.0,25,0.109375,1.1047073602676392
0,21800448.0,26,0.078125,1.1036927700042725
0,22607872.0,27,0.078125,1.101149559020996
0,23415296.0,28,0.046875,1.1028481721878052
0,24222720.0,29,0.125,1.0956594944000244
0,25030144.0,30,0.140625,1.102067232131958
0,25837568.0,31,0.21875,1.092758297920227
0,26644992.0,32,0.015625,1.1090344190597534
0,27452416.0,33,0.1875,1.0940196514129639
0,28259840.0,34,0.171875,1.092390537261963
0,29067264.0,35,0.140625,1.1006680727005005
0,29874688.0,36,0.09375,1.103454828262329
0,30682112.0,37,0.109375,1.099165439605713
0,31489536.0,38,0.125,1.0978407859802246
0,32296960.0,39,0.09375,1.102083683013916
0,33104384.0,40,0.140625,1.0951204299926758
0,33911808.0,41,0.140625,1.0960155725479126
0,34719232.0,42,0.0625,1.1043508052825928
0,35526656.0,43,0.203125,1.0928744077682495
0,36334080.0,44,0.109375,1.0954033136367798
0,37141504.0,45,0.140625,1.0981829166412354
0,37948928.0,46,0.109375,1.0932821035385132
0,38756352.0,47,0.109375,1.0996556282043457
0,39563776.0,48,0.109375,1.101413369178772
0,40371200.0,49,0.125,1.0965478420257568
0,41178624.0,50,0.1875,1.09490168094635
0,41986048.0,51,0.203125,1.0934760570526123
0,42793472.0,52,0.109375,1.094022274017334
0,43600896.0,53,0.125,1.0994912385940552
0,44408320.0,54,0.171875,1.0949604511260986
0,45215744.0,55,0.15625,1.0951526165008545
0,46023168.0,56,0.125,1.0996012687683105
0,46830592.0,57,0.046875,1.1041350364685059
0,47638016.0,58,0.046875,1.1010887622833252
0,48445440.0,59,0.21875,1.0973869562149048
0,49252864.0,60,0.109375,1.0984561443328857
0,50060288.0,61,0.125,1.101384162902832
0,50867712.0,62,0.15625,1.0953140258789062
0,51675136.0,63,0.125,1.0907642841339111
0,52482560.0,64,0.046875,1.100825309753418
0,53289984.0,65,0.171875,1.0944926738739014
0,54097408.0,66,0.125,1.0972453355789185
0,54904832.0,67,0.109375,1.0965182781219482
0,55712256.0,68,0.09375,1.0989155769348145
0,56519680.0,69,0.0625,1.1026201248168945
0,57327104.0,70,0.15625,1.097442865371704
0,58134528.0,71,0.0625,1.1016331911087036
0,58941952.0,72,0.109375,1.0945768356323242
0,59749376.0,73,0.09375,1.0941579341888428
0,60556800.0,74,0.09375,1.1015288829803467
0,61364224.0,75,0.078125,1.0956666469573975
0,62171648.0,76,0.0625,1.0956010818481445
0,62979072.0,77,0.140625,1.0967497825622559
0,63786496.0,78,0.125,1.098632574081421
0,64593920.0,79,0.171875,1.095652461051941
0,65401344.0,80,0.125,1.096250057220459
0,66208768.0,81,0.140625,1.0928726196289062
0,67016192.0,82,0.125,1.0933027267456055
0,67823616.0,83,0.109375,1.0974739789962769
0,68631040.0,84,0.109375,1.0946886539459229
0,69438464.0,85,0.140625,1.0943286418914795
0,70245888.0,86,0.078125,1.09713876247406
0,71053312.0,87,0.125,1.0969316959381104
0,71860736.0,88,0.09375,1.0992835760116577
0,72668160.0,89,0.203125,1.0944525003433228
0,73475584.0,90,0.109375,1.0934537649154663
0,74283008.0,91,0.09375,1.0939973592758179
0,75090432.0,92,0.125,1.0924428701400757
0,75897856.0,93,0.0625,1.1019909381866455
0,76705280.0,94,0.1875,1.0939149856567383
0,77512704.0,95,0.015625,1.0944108963012695
0,78320128.0,96,0.109375,1.0987064838409424
0,79127552.0,97,0.125,1.0918810367584229
0,79934976.0,98,0.09375,1.0956629514694214
0,80742400.0,99,0.078125,1.098503828048706
0,81549824.0,100,0.09375,1.092079997062683
0,82357248.0,101,0.109375,1.0978829860687256
0,83164672.0,102,0.09375,1.0965461730957031
0,83972096.0,103,0.203125,1.0878374576568604
0,84779520.0,104,0.109375,1.097034215927124
0,85586944.0,105,0.046875,1.0993123054504395
0,86394368.0,106,0.140625,1.0912511348724365
0,87201792.0,107,0.15625,1.090184211730957
0,88009216.0,108,0.1875,1.0881626605987549
0,88816640.0,109,0.15625,1.0931589603424072
0,89624064.0,110,0.125,1.095691204071045
0,90431488.0,111,0.140625,1.0940788984298706
0,91238912.0,112,0.078125,1.097893476486206
0,92046336.0,113,0.140625,1.09330153465271
0,92853760.0,114,0.109375,1.0943341255187988
0,93661184.0,115,0.109375,1.0901501178741455
0,94468608.0,116,0.171875,1.09283447265625
0,95276032.0,117,0.203125,1.094982385635376
0,96083456.0,118,0.15625,1.0959669351577759
0,96890880.0,119,0.140625,1.095975399017334
0,97698304.0,120,0.171875,1.0875074863433838
0,98505728.0,121,0.125,1.0939545631408691
0,99313152.0,122,0.09375,1.0907258987426758
0,100120576.0,123,0.140625,1.0903890132904053
0,100928000.0,124,0.15625,1.0924370288848877
0,101735424.0,125,0.09375,1.0980620384216309
0,102542848.0,126,0.109375,1.0958163738250732
0,103350272.0,127,0.140625,1.090606451034546
0,104157696.0,128,0.140625,1.0938822031021118
0,104965120.0,129,0.140625,1.0873982906341553
0,105772544.0,130,0.140625,1.090975284576416
0,106579968.0,131,0.09375,1.0935304164886475
0,107387392.0,132,0.109375,1.0887596607208252
0,108194816.0,133,0.140625,1.092890977859497
0,109002240.0,134,0.203125,1.0927082300186157
0,109809664.0,135,0.125,1.0919206142425537
0,110617088.0,136,0.140625,1.0907436609268188
0,111424512.0,137,0.09375,1.0961037874221802
0,112231936.0,138,0.078125,1.0990893840789795
0,113039360.0,139,0.171875,1.0924549102783203
