epoch,flops,step,train_value_accuracy,train_value_loss
0,17868800.0,4,0.0625,1.1101951599121094
0,35737600.0,9,0.71875,1.0775973796844482
0,53606400.0,14,0.828125,1.0153467655181885
0,71475200.0,19,0.765625,0.9871048331260681
0,89344000.0,24,0.796875,0.9623978734016418
0,107212800.0,29,0.765625,0.9636163115501404
0,125081600.0,34,0.859375,0.9224039316177368
0,142950400.0,39,0.71875,0.971257746219635
0,160819200.0,44,0.734375,0.9825026988983154
0,178688000.0,49,0.828125,0.8978762626647949
0,196556800.0,54,0.71875,0.9696058034896851
0,214425600.0,59,0.8125,0.9074531197547913
0,232294400.0,64,0.84375,0.9003126621246338
0,250163200.0,69,0.75,0.9694974422454834
0,268032000.0,74,0.71875,0.9887605905532837
0,285900800.0,79,0.765625,0.9362578392028809
0,303769600.0,84,0.84375,0.8914490342140198
0,321638400.0,89,0.734375,0.9386951923370361
0,339507200.0,94,0.703125,0.9709303379058838
0,357376000.0,99,0.75,0.9158782958984375
0,375244800.0,104,0.65625,0.9580122828483582
0,393113600.0,109,0.734375,0.9575539827346802
0,410982400.0,114,0.8125,0.8795316815376282
0,428851200.0,119,0.84375,0.8869919776916504
0,446720000.0,124,0.6875,0.9819811582565308
0,464588800.0,129,0.796875,0.931325376033783
0,482457600.0,134,0.71875,0.9681897163391113
0,500326400.0,139,0.703125,0.9929440021514893
0,518195200.0,144,0.796875,0.93438321352005
0,536064000.0,149,0.6875,0.9693949222564697
0,553932800.0,154,0.75,0.9538856148719788
0,571801600.0,159,0.703125,0.9774592518806458
0,589670400.0,164,0.796875,0.9227312803268433
0,607539200.0,169,0.734375,0.9376387596130371
0,625408000.0,174,0.8125,0.934236466884613
0,643276800.0,179,0.734375,0.9722974300384521
0,661145600.0,184,0.828125,0.8932470679283142
0,679014400.0,189,0.828125,0.8673175573348999
0,696883200.0,194,0.703125,1.0000237226486206
0,714752000.0,199,0.71875,0.9861059188842773
0,732620800.0,204,0.75,0.9523410797119141
0,750489600.0,209,0.765625,0.9326473474502563
0,768358400.0,214,0.6875,1.020324945449829
0,786227200.0,219,0.78125,0.9178032875061035
0,804096000.0,224,0.71875,0.9502179622650146
0,821964800.0,229,0.734375,0.9505278468132019
0,839833600.0,234,0.71875,0.9531770944595337
0,857702400.0,239,0.734375,0.9987795352935791
0,875571200.0,244,0.703125,0.9976418018341064
0,893440000.0,249,0.796875,0.9153232574462891
0,911308800.0,254,0.734375,0.9650312066078186
0,929177600.0,259,0.703125,0.9765664339065552
0,947046400.0,264,0.796875,0.9105584025382996
0,964915200.0,269,0.734375,0.9172797203063965
0,982784000.0,274,0.734375,0.9848711490631104
0,1000652800.0,279,0.703125,0.949165940284729
0,1018521600.0,284,0.875,0.8869648575782776
0,1036390400.0,289,0.796875,0.9347823858261108
0,1054259200.0,294,0.734375,0.9570095539093018
0,1072128000.0,299,0.734375,0.9833000302314758
0,1089996800.0,304,0.6875,0.9815815687179565
0,1107865600.0,309,0.8125,0.8994729518890381
0,1125734400.0,314,0.78125,0.9211293458938599
0,1143603200.0,319,0.796875,0.8857559561729431
0,1161472000.0,324,0.71875,0.9271000623703003
0,1179340800.0,329,0.765625,0.933236837387085
0,1197209600.0,334,0.71875,0.9598631858825684
0,1215078400.0,339,0.671875,1.0179517269134521
0,1232947200.0,344,0.78125,0.9222977757453918
0,1250816000.0,349,0.84375,0.8886798620223999
0,1268684800.0,354,0.78125,0.9244784116744995
0,1286553600.0,359,0.8125,0.8788840770721436
0,1304422400.0,364,0.78125,0.8798283338546753
0,1322291200.0,369,0.71875,0.9694477319717407
0,1340160000.0,374,0.71875,0.9569729566574097
0,1358028800.0,379,0.734375,0.9605687856674194
0,1375897600.0,384,0.6875,0.9837586283683777
0,1393766400.0,389,0.671875,1.0214598178863525
0,1411635200.0,394,0.734375,0.9235562086105347
0,1429504000.0,399,0.75,0.9254985451698303
0,1447372800.0,404,0.8125,0.8449743986129761
0,1465241600.0,409,0.8125,0.9067838191986084
0,1483110400.0,414,0.765625,0.9447438716888428
0,1500979200.0,419,0.734375,0.9418327808380127
0,1518848000.0,424,0.828125,0.8621957302093506
0,1536716800.0,429,0.765625,0.9628926515579224
0,1554585600.0,434,0.71875,0.9459096193313599
0,1572454400.0,439,0.859375,0.8833246827125549
0,1590323200.0,444,0.796875,0.9402763843536377
0,1608192000.0,449,0.671875,0.9299834966659546
0,1626060800.0,454,0.734375,0.9003217816352844
0,1643929600.0,459,0.75,0.8554090857505798
0,1661798400.0,464,0.671875,0.9361274838447571
0,1679667200.0,469,0.796875,0.8585144877433777
0,1697536000.0,474,0.734375,0.9460019469261169
0,1715404800.0,479,0.765625,0.9173948764801025
0,1733273600.0,484,0.734375,0.9446592330932617
0,1751142400.0,489,0.75,0.9041292667388916
0,1769011200.0,494,0.796875,0.9065753221511841
0,1786880000.0,499,0.765625,0.9280492663383484
0,1804748800.0,504,0.65625,1.02633798122406
0,1822617600.0,509,0.828125,0.9176231622695923
0,1840486400.0,514,0.734375,0.9415558576583862
0,1858355200.0,519,0.78125,0.8895131349563599
0,1876224000.0,524,0.625,0.9868831634521484
0,1894092800.0,529,0.84375,0.8758472204208374
0,1911961600.0,534,0.796875,0.9085676074028015
0,1929830400.0,539,0.75,0.9466514587402344
0,1947699200.0,544,0.71875,0.9347602128982544
0,1965568000.0,549,0.703125,0.9672536253929138
0,1983436800.0,554,0.640625,0.9896319508552551
0,2001305600.0,559,0.78125,0.9066338539123535
0,2019174400.0,564,0.796875,0.9278037548065186
0,2037043200.0,569,0.859375,0.8270103931427002
0,2054912000.0,574,0.8125,0.9385762214660645
0,2072780800.0,579,0.71875,0.9697336554527283
0,2090649600.0,584,0.734375,0.9400655031204224
0,2108518400.0,589,0.671875,1.0121265649795532
0,2126387200.0,594,0.828125,0.8909413814544678
0,2144256000.0,599,0.671875,1.0038268566131592
0,2162124800.0,604,0.75,0.9125500321388245
0,2179993600.0,609,0.75,0.9174136519432068
0,2197862400.0,614,0.78125,0.9040091037750244
0,2215731200.0,619,0.71875,0.9405621886253357
0,2233600000.0,624,0.765625,0.9608896970748901
0,2251468800.0,629,0.75,0.9457142949104309
0,2269337600.0,634,0.71875,0.9407644271850586
0,2287206400.0,639,0.671875,0.9954147338867188
0,2305075200.0,644,0.765625,0.9534924030303955
0,2322944000.0,649,0.71875,0.9097675681114197
0,2340812800.0,654,0.84375,0.9336014986038208
0,2358681600.0,659,0.78125,0.9324622750282288
0,2376550400.0,664,0.78125,0.9038031697273254
0,2394419200.0,669,0.765625,0.8979520797729492
0,2412288000.0,674,0.8125,0.8785939812660217
0,2430156800.0,679,0.71875,0.9413690567016602
0,2448025600.0,684,0.8125,0.8894858956336975
0,2465894400.0,689,0.609375,1.0246740579605103
0,2483763200.0,694,0.765625,0.9186547994613647
0,2501632000.0,699,0.765625,0.9026421308517456
0,2519500800.0,704,0.703125,0.9525057077407837
0,2537369600.0,709,0.8125,0.9076992869377136
0,2555238400.0,714,0.796875,0.8456131219863892
0,2573107200.0,719,0.828125,0.8926012516021729
0,2590976000.0,724,0.75,0.9459000825881958
0,2608844800.0,729,0.71875,0.9445004463195801
0,2626713600.0,734,0.71875,0.9380864500999451
0,2644582400.0,739,0.734375,0.9593967199325562
0,2662451200.0,744,0.765625,0.9194986820220947
0,2680320000.0,749,0.75,0.9153503775596619
0,2698188800.0,754,0.71875,0.9589334726333618
0,2716057600.0,759,0.703125,0.9474794864654541
0,2733926400.0,764,0.78125,0.8990769386291504
0,2751795200.0,769,0.84375,0.8747283220291138
0,2769664000.0,774,0.8125,0.927825927734375
0,2787532800.0,779,0.75,0.9534174203872681
0,2805401600.0,784,0.71875,0.9490573406219482
0,2823270400.0,789,0.8125,0.8852858543395996
0,2841139200.0,794,0.828125,0.9089789390563965
0,2859008000.0,799,0.8125,0.9137243032455444
0,2876876800.0,804,0.6875,0.9470410346984863
0,2894745600.0,809,0.828125,0.9056174755096436
0,2912614400.0,814,0.75,0.9196897745132446
0,2930483200.0,819,0.65625,0.9629758596420288
0,2948352000.0,824,0.703125,0.9536364078521729
0,2966220800.0,829,0.796875,0.9329763054847717
0,2984089600.0,834,0.8125,0.9207644462585449
0,3001958400.0,839,0.671875,0.9508126378059387
0,3019827200.0,844,0.78125,0.8776969313621521
0,3037696000.0,849,0.78125,0.9411624670028687
0,3055564800.0,854,0.75,0.9295923709869385
0,3073433600.0,859,0.796875,0.8566949367523193
0,3091302400.0,864,0.71875,0.9012250900268555
0,3109171200.0,869,0.703125,0.9526881575584412
0,3127040000.0,874,0.765625,0.8740756511688232
0,3144908800.0,879,0.78125,0.9126451015472412
0,3162777600.0,884,0.765625,0.9019501209259033
0,3180646400.0,889,0.765625,0.8950492143630981
0,3198515200.0,894,0.6875,0.9955452680587769
0,3216384000.0,899,0.671875,1.0221329927444458
0,3234252800.0,904,0.859375,0.8313956260681152
0,3252121600.0,909,0.75,0.9354649782180786
0,3269990400.0,914,0.796875,0.9029757380485535
0,3287859200.0,919,0.703125,0.9657214879989624
0,3305728000.0,924,0.703125,0.9412157535552979
0,3323596800.0,929,0.828125,0.8716182708740234
0,3341465600.0,934,0.765625,0.9237616062164307
0,3359334400.0,939,0.65625,0.9845836162567139
0,3377203200.0,944,0.78125,0.9211736917495728
0,3395072000.0,949,0.6875,0.997395932674408
0,3412940800.0,954,0.8125,0.8569616079330444
0,3430809600.0,959,0.78125,0.9221746325492859
0,3448678400.0,964,0.78125,0.9431813955307007
0,3466547200.0,969,0.78125,0.88309645652771
0,3484416000.0,974,0.734375,0.9315235614776611
0,3502284800.0,979,0.75,1.0355756282806396
0,3520153600.0,984,0.765625,0.932793915271759
0,3538022400.0,989,0.703125,0.964674174785614
0,3555891200.0,994,0.734375,0.9438391327857971
0,3573760000.0,999,0.828125,0.8548296689987183
0,3591628800.0,1004,0.8125,0.8871537446975708
0,3609497600.0,1009,0.71875,0.9242509603500366
0,3627366400.0,1014,0.796875,0.9006519913673401
0,3645235200.0,1019,0.765625,0.9735956192016602
0,3663104000.0,1024,0.796875,0.9245965480804443
0,3680972800.0,1029,0.765625,0.9173159599304199
0,3698841600.0,1034,0.78125,0.9517449140548706
0,3716710400.0,1039,0.75,0.9037201404571533
0,3734579200.0,1044,0.734375,0.9697855710983276
0,3752448000.0,1049,0.828125,0.8499075174331665
0,3770316800.0,1054,0.734375,0.9657012820243835
0,3788185600.0,1059,0.84375,0.8803682327270508
0,3806054400.0,1064,0.734375,0.9819067716598511
0,3823923200.0,1069,0.6875,1.0112781524658203
0,3841792000.0,1074,0.875,0.8881886005401611
0,3859660800.0,1079,0.796875,0.9005270600318909
0,3877529600.0,1084,0.8125,0.8983681201934814
0,3895398400.0,1089,0.84375,0.8950544595718384
0,3913267200.0,1094,0.734375,0.9322383999824524
0,3931136000.0,1099,0.8125,0.8774012327194214
0,3949004800.0,1104,0.78125,0.9004441499710083
0,3966873600.0,1109,0.8125,0.9297714829444885
0,3984742400.0,1114,0.734375,0.9361996650695801
0,4002611200.0,1119,0.828125,0.860572338104248
0,4020480000.0,1124,0.8125,0.910040020942688
0,4038348800.0,1129,0.703125,0.9424852132797241
0,4056217600.0,1134,0.796875,0.9186185598373413
0,4074086400.0,1139,0.703125,0.9502286314964294
0,4091955200.0,1144,0.828125,0.8574891090393066
0,4109824000.0,1149,0.8125,0.8760263323783875
0,4127692800.0,1154,0.828125,0.8675095438957214
0,4145561600.0,1159,0.734375,0.9179730415344238
0,4163430400.0,1164,0.765625,0.9428257942199707
0,4181299200.0,1169,0.765625,0.9573180675506592
0,4199168000.0,1174,0.8125,0.880736231803894
0,4217036800.0,1179,0.703125,0.9465928077697754
0,4234905600.0,1184,0.828125,0.8616392612457275
0,4252774400.0,1189,0.765625,0.9017728567123413
0,4270643200.0,1194,0.71875,0.9478090405464172
0,4288512000.0,1199,0.703125,0.9855973720550537
0,4306380800.0,1204,0.78125,0.9087942838668823
0,4324249600.0,1209,0.75,0.9421748518943787
0,4342118400.0,1214,0.71875,0.92777419090271
0,4359987200.0,1219,0.765625,0.9437848329544067
0,4377856000.0,1224,0.734375,0.9232197999954224
0,4395724800.0,1229,0.703125,0.987213671207428
0,4413593600.0,1234,0.78125,0.9185934066772461
0,4431462400.0,1239,0.84375,0.8932827711105347
0,4449331200.0,1244,0.75,0.8851562142372131
0,4467200000.0,1249,0.703125,1.0110602378845215
0,4485068800.0,1254,0.828125,0.887309193611145
0,4502937600.0,1259,0.796875,0.8750424385070801
0,4520806400.0,1264,0.71875,0.948771595954895
0,4538675200.0,1269,0.703125,0.9236572980880737
0,4556544000.0,1274,0.78125,0.8691242933273315
0,4574412800.0,1279,0.78125,0.9015865325927734
0,4592281600.0,1284,0.71875,0.8808948397636414
0,4610150400.0,1289,0.84375,0.8610907196998596
0,4628019200.0,1294,0.734375,0.9692468047142029
0,4645888000.0,1299,0.703125,0.9250076413154602
0,4663756800.0,1304,0.78125,0.9040629863739014
0,4681625600.0,1309,0.734375,0.908307671546936
0,4699494400.0,1314,0.796875,0.8959082961082458
0,4717363200.0,1319,0.796875,0.9495290517807007
0,4735232000.0,1324,0.828125,0.8631553053855896
0,4753100800.0,1329,0.75,0.9562086462974548
0,4770969600.0,1334,0.65625,0.9991551637649536
0,4788838400.0,1339,0.765625,0.9095649719238281
0,4806707200.0,1344,0.75,0.9016966819763184
0,4824576000.0,1349,0.6875,0.9463628530502319
0,4842444800.0,1354,0.859375,0.8480720520019531
0,4860313600.0,1359,0.703125,0.9238834977149963
0,4878182400.0,1364,0.796875,0.8491063117980957
0,4896051200.0,1369,0.796875,0.8950863480567932
0,4913920000.0,1374,0.796875,0.9224342703819275
0,4931788800.0,1379,0.75,0.9097478985786438
0,4949657600.0,1384,0.671875,0.9465575218200684
0,4967526400.0,1389,0.65625,0.9622829556465149
0,4985395200.0,1394,0.8125,0.8578682541847229
