epoch,flops,step,train_value_accuracy,train_value_loss
0,17868800.0,9,0.21875,1.1095435619354248
0,35737600.0,19,0.375,1.0942445993423462
0,53606400.0,29,0.5,1.087798833847046
0,71475200.0,39,0.5,1.0781546831130981
0,89344000.0,49,0.53125,1.0843509435653687
0,107212800.0,59,0.71875,1.060910940170288
0,125081600.0,69,0.6875,1.0707008838653564
0,142950400.0,79,0.625,1.063962459564209
0,160819200.0,89,0.8125,1.0300604104995728
0,178688000.0,99,0.75,1.0381642580032349
0,196556800.0,109,0.6875,1.038163423538208
0,214425600.0,119,0.90625,1.0183171033859253
0,232294400.0,129,0.6875,1.0416584014892578
0,250163200.0,139,0.875,0.9957960247993469
0,268032000.0,149,0.8125,1.001082181930542
0,285900800.0,159,0.78125,1.0183178186416626
0,303769600.0,169,0.78125,0.9934116005897522
0,321638400.0,179,0.78125,1.0057052373886108
0,339507200.0,189,0.71875,1.001806378364563
0,357376000.0,199,0.78125,0.9950888156890869
0,375244800.0,209,0.8125,0.9904760718345642
0,393113600.0,219,0.78125,0.9864822626113892
0,410982400.0,229,0.625,1.0315834283828735
0,428851200.0,239,0.78125,0.9880303740501404
0,446720000.0,249,0.84375,0.9582507610321045
0,464588800.0,259,0.65625,0.9921834468841553
0,482457600.0,269,0.875,0.9283915758132935
0,500326400.0,279,0.90625,0.9191938638687134
0,518195200.0,289,0.84375,0.9380308389663696
0,536064000.0,299,0.65625,0.9983714818954468
0,553932800.0,309,0.75,0.968817949295044
0,571801600.0,319,0.75,0.9790627956390381
0,589670400.0,329,0.71875,0.9678661227226257
0,607539200.0,339,0.78125,0.9459558725357056
0,625408000.0,349,0.71875,0.9933837056159973
0,643276800.0,359,0.71875,0.9925341010093689
0,661145600.0,369,0.875,0.9056451916694641
0,679014400.0,379,0.78125,0.9770030975341797
0,696883200.0,389,0.84375,0.9275175333023071
0,714752000.0,399,0.78125,0.9643925428390503
0,732620800.0,409,0.75,0.9830735921859741
0,750489600.0,419,0.6875,0.9666897654533386
0,768358400.0,429,0.75,0.9688633680343628
0,786227200.0,439,0.75,0.9736911654472351
0,804096000.0,449,0.65625,0.9933959245681763
0,821964800.0,459,0.84375,0.9428877234458923
0,839833600.0,469,0.78125,0.954571008682251
0,857702400.0,479,0.75,0.9566119313240051
0,875571200.0,489,0.71875,0.953582227230072
0,893440000.0,499,0.75,0.974534273147583
0,911308800.0,509,0.71875,0.9663082361221313
0,929177600.0,519,0.71875,0.9793545603752136
0,947046400.0,529,0.71875,0.9676415920257568
0,964915200.0,539,0.8125,0.9314131140708923
0,982784000.0,549,0.84375,0.9458266496658325
0,1000652800.0,559,0.875,0.8978952765464783
0,1018521600.0,569,0.8125,0.9404698610305786
0,1036390400.0,579,0.75,0.9400951862335205
0,1054259200.0,589,0.71875,0.9547780752182007
0,1072128000.0,599,0.71875,0.9537490606307983
0,1089996800.0,609,0.78125,0.9608495235443115
0,1107865600.0,619,0.6875,1.0154783725738525
0,1125734400.0,629,0.5625,1.037521243095398
0,1143603200.0,639,0.84375,0.8843538761138916
0,1161472000.0,649,0.6875,0.9761244058609009
0,1179340800.0,659,0.625,1.0187000036239624
0,1197209600.0,669,0.84375,0.9445962905883789
0,1215078400.0,679,0.78125,0.9502475261688232
0,1232947200.0,689,0.6875,0.9581934809684753
0,1250816000.0,699,0.8125,0.9068176746368408
0,1268684800.0,709,0.75,0.9412326812744141
0,1286553600.0,719,0.78125,0.9457888603210449
0,1304422400.0,729,0.625,1.045753002166748
0,1322291200.0,739,0.78125,0.9274027347564697
0,1340160000.0,749,0.875,0.8908575177192688
0,1358028800.0,759,0.75,0.9525315761566162
0,1375897600.0,769,0.71875,0.9791948795318604
0,1393766400.0,779,0.65625,0.9678366184234619
0,1411635200.0,789,0.71875,0.964390754699707
0,1429504000.0,799,0.59375,1.0417721271514893
0,1447372800.0,809,0.78125,0.919755220413208
0,1465241600.0,819,0.6875,0.9826889634132385
0,1483110400.0,829,0.71875,0.9433993101119995
0,1500979200.0,839,0.59375,1.0564794540405273
0,1518848000.0,849,0.75,0.9319910407066345
0,1536716800.0,859,0.75,0.9644870162010193
0,1554585600.0,869,0.75,0.9457475543022156
0,1572454400.0,879,0.6875,0.9815363883972168
0,1590323200.0,889,0.90625,0.8632422089576721
0,1608192000.0,899,0.8125,0.8824454545974731
0,1626060800.0,909,0.84375,0.846855640411377
0,1643929600.0,919,0.75,0.9208041429519653
0,1661798400.0,929,0.78125,0.9643183946609497
0,1679667200.0,939,0.75,0.9320493936538696
0,1697536000.0,949,0.6875,0.9484869837760925
0,1715404800.0,959,0.78125,0.9329529404640198
0,1733273600.0,969,0.875,0.8788926601409912
0,1751142400.0,979,0.84375,0.8841034173965454
0,1769011200.0,989,0.875,0.8728650808334351
0,1786880000.0,999,0.75,0.9375571012496948
0,1804748800.0,1009,0.71875,0.9580203890800476
0,1822617600.0,1019,0.65625,0.9539018869400024
0,1840486400.0,1029,0.5625,1.053653359413147
0,1858355200.0,1039,0.78125,0.9549864530563354
0,1876224000.0,1049,0.625,1.0159778594970703
0,1894092800.0,1059,0.78125,0.9159303903579712
0,1911961600.0,1069,0.65625,1.019510269165039
0,1929830400.0,1079,0.65625,0.9983283281326294
0,1947699200.0,1089,0.71875,0.9631032943725586
0,1965568000.0,1099,0.84375,0.9370995759963989
0,1983436800.0,1109,0.84375,0.9197036027908325
0,2001305600.0,1119,0.78125,0.945172905921936
0,2019174400.0,1129,0.65625,0.9441896677017212
0,2037043200.0,1139,0.71875,0.9838048815727234
0,2054912000.0,1149,0.78125,0.9275437593460083
0,2072780800.0,1159,0.75,0.9348918199539185
0,2090649600.0,1169,0.78125,0.8783348202705383
0,2108518400.0,1179,0.75,0.9567928314208984
0,2126387200.0,1189,0.65625,0.969080924987793
0,2144256000.0,1199,0.71875,0.9395692944526672
0,2162124800.0,1209,0.625,1.0003325939178467
0,2179993600.0,1219,0.65625,0.9894435405731201
0,2197862400.0,1229,0.75,0.9969812631607056
0,2215731200.0,1239,0.78125,0.9163912534713745
0,2233600000.0,1249,0.78125,0.950549840927124
0,2251468800.0,1259,0.78125,0.9392140507698059
0,2269337600.0,1269,0.6875,1.0158227682113647
0,2287206400.0,1279,0.6875,0.9639856815338135
0,2305075200.0,1289,0.5625,1.0729165077209473
0,2322944000.0,1299,0.8125,0.9176875948905945
0,2340812800.0,1309,0.8125,0.9201079607009888
0,2358681600.0,1319,0.75,0.9483859539031982
0,2376550400.0,1329,0.78125,0.9022624492645264
0,2394419200.0,1339,0.8125,0.880349338054657
0,2412288000.0,1349,0.5625,1.0829522609710693
0,2430156800.0,1359,0.75,0.9372295141220093
0,2448025600.0,1369,0.65625,0.9815032482147217
0,2465894400.0,1379,0.8125,0.893652081489563
0,2483763200.0,1389,0.71875,0.9795376658439636
0,2501632000.0,1399,0.84375,0.8863462209701538
0,2519500800.0,1409,0.84375,0.9263938665390015
0,2537369600.0,1419,0.78125,0.9774555563926697
0,2555238400.0,1429,0.6875,1.0170390605926514
0,2573107200.0,1439,0.78125,0.9429994821548462
0,2590976000.0,1449,0.6875,0.958968460559845
0,2608844800.0,1459,0.78125,0.9349744319915771
0,2626713600.0,1469,0.75,0.9668477773666382
0,2644582400.0,1479,0.8125,0.9326632022857666
0,2662451200.0,1489,0.71875,0.9967811107635498
0,2680320000.0,1499,0.75,0.9134790897369385
0,2698188800.0,1509,0.75,0.981110692024231
0,2716057600.0,1519,0.9375,0.7822302579879761
0,2733926400.0,1529,0.78125,0.9511796236038208
0,2751795200.0,1539,0.6875,1.0014729499816895
0,2769664000.0,1549,0.75,0.9223068356513977
0,2787532800.0,1559,0.8125,0.8627834916114807
0,2805401600.0,1569,0.75,0.9360616207122803
0,2823270400.0,1579,0.6875,0.9546473622322083
0,2841139200.0,1589,0.53125,1.0943925380706787
0,2859008000.0,1599,0.6875,0.9681627750396729
0,2876876800.0,1609,0.75,0.9808685183525085
0,2894745600.0,1619,0.65625,0.9731701016426086
0,2912614400.0,1629,0.71875,1.0218943357467651
0,2930483200.0,1639,0.6875,1.0185575485229492
0,2948352000.0,1649,0.9375,0.8027617931365967
0,2966220800.0,1659,0.71875,0.9742384552955627
0,2984089600.0,1669,0.8125,0.8866292238235474
0,3001958400.0,1679,0.5625,1.001217007637024
0,3019827200.0,1689,0.84375,0.9072862267494202
0,3037696000.0,1699,0.6875,0.9502330422401428
0,3055564800.0,1709,0.71875,0.936400830745697
0,3073433600.0,1719,0.8125,0.9496095180511475
0,3091302400.0,1729,0.78125,0.9083961844444275
0,3109171200.0,1739,0.6875,0.9608454704284668
0,3127040000.0,1749,0.625,0.9909672141075134
0,3144908800.0,1759,0.6875,0.9730595946311951
0,3162777600.0,1769,0.75,0.9088899493217468
0,3180646400.0,1779,0.6875,0.9813549518585205
0,3198515200.0,1789,0.65625,0.9682714939117432
0,3216384000.0,1799,0.71875,0.9811700582504272
0,3234252800.0,1809,0.78125,0.9273005723953247
0,3252121600.0,1819,0.875,0.9194669127464294
0,3269990400.0,1829,0.78125,0.9356935024261475
0,3287859200.0,1839,0.71875,0.9421607255935669
0,3305728000.0,1849,0.75,0.9811481237411499
0,3323596800.0,1859,0.84375,0.9052891135215759
0,3341465600.0,1869,0.8125,0.9435700178146362
0,3359334400.0,1879,0.90625,0.8241921663284302
0,3377203200.0,1889,0.875,0.8948647975921631
0,3395072000.0,1899,0.78125,0.8700255155563354
0,3412940800.0,1909,0.6875,0.9150445461273193
0,3430809600.0,1919,0.75,0.9539898633956909
0,3448678400.0,1929,0.75,0.9234781265258789
0,3466547200.0,1939,0.75,0.9279070496559143
0,3484416000.0,1949,0.84375,0.9147785902023315
0,3502284800.0,1959,0.75,0.8976516723632812
0,3520153600.0,1969,0.8125,0.9012948274612427
0,3538022400.0,1979,0.71875,0.9264344573020935
0,3555891200.0,1989,0.78125,0.8998870253562927
0,3573760000.0,1999,0.6875,0.9759109616279602
0,3591628800.0,2009,0.5,1.0830165147781372
0,3609497600.0,2019,0.84375,0.8729453086853027
0,3627366400.0,2029,0.75,0.9074952602386475
0,3645235200.0,2039,0.78125,0.902248203754425
0,3663104000.0,2049,0.75,0.9326484203338623
0,3680972800.0,2059,0.5625,1.0851672887802124
0,3698841600.0,2069,0.71875,0.9491917490959167
0,3716710400.0,2079,0.875,0.895606279373169
0,3734579200.0,2089,0.78125,0.9465672373771667
0,3752448000.0,2099,0.75,0.9974174499511719
0,3770316800.0,2109,0.71875,0.9437329769134521
0,3788185600.0,2119,0.84375,0.9312567710876465
0,3806054400.0,2129,0.84375,0.8699648380279541
0,3823923200.0,2139,0.6875,0.987291693687439
0,3841792000.0,2149,0.78125,0.9264224767684937
0,3859660800.0,2159,0.875,0.8639751672744751
0,3877529600.0,2169,0.78125,0.9645375609397888
0,3895398400.0,2179,0.6875,0.9817535877227783
0,3913267200.0,2189,0.625,1.0225940942764282
0,3931136000.0,2199,0.75,0.9269870519638062
0,3949004800.0,2209,0.78125,0.8687360882759094
0,3966873600.0,2219,0.75,0.9824057221412659
0,3984742400.0,2229,0.84375,0.8891986608505249
0,4002611200.0,2239,0.75,1.01979660987854
0,4020480000.0,2249,0.84375,0.9010375738143921
0,4038348800.0,2259,0.6875,0.9558189511299133
0,4056217600.0,2269,0.65625,1.0321037769317627
0,4074086400.0,2279,0.6875,0.9558382034301758
0,4091955200.0,2289,0.65625,0.9897973537445068
0,4109824000.0,2299,0.71875,0.939834713935852
0,4127692800.0,2309,0.84375,0.9220569133758545
0,4145561600.0,2319,0.84375,0.9317420125007629
0,4163430400.0,2329,0.71875,0.9770779609680176
0,4181299200.0,2339,0.8125,0.8939927220344543
0,4199168000.0,2349,0.65625,1.0000821352005005
0,4217036800.0,2359,0.75,0.950995922088623
0,4234905600.0,2369,0.84375,0.9476075768470764
0,4252774400.0,2379,0.84375,0.8982560634613037
0,4270643200.0,2389,0.875,0.873985767364502
0,4288512000.0,2399,0.75,0.9712611436843872
0,4306380800.0,2409,0.75,0.9628223776817322
0,4324249600.0,2419,0.59375,1.008507251739502
0,4342118400.0,2429,0.8125,0.9138807654380798
0,4359987200.0,2439,0.6875,0.9850078225135803
0,4377856000.0,2449,0.78125,0.9430835247039795
0,4395724800.0,2459,0.8125,0.9112375974655151
0,4413593600.0,2469,0.65625,1.0237435102462769
0,4431462400.0,2479,0.71875,0.9631217122077942
0,4449331200.0,2489,0.65625,0.9932119846343994
0,4467200000.0,2499,0.78125,0.9486881494522095
0,4485068800.0,2509,0.78125,0.8733483552932739
0,4502937600.0,2519,0.65625,1.0005741119384766
0,4520806400.0,2529,0.71875,0.9353236556053162
0,4538675200.0,2539,0.6875,0.9842174053192139
