epoch,flops,grad_norm_0,grad_norm_1,grad_norm_2,grad_norm_3,step,train_value_accuracy,train_value_loss
0,100928.0,0.21921277046203613,0.33568501472473145,0.3843410015106201,0.5826214551925659,1,1.0,0.8754063844680786
0,201856.0,0.17598217725753784,0.23637789487838745,0.47133028507232666,0.7091545462608337,3,1.0,0.858334481716156
0,302784.0,0.19772686064243317,0.3046293258666992,0.3309376537799835,0.40798842906951904,5,1.0,0.978370726108551
0,403712.0,0.11212831735610962,0.34999293088912964,0.3299100399017334,0.38661912083625793,7,1.0,0.9273954033851624
0,504640.0,0.14546571671962738,0.2065924108028412,0.23617568612098694,0.32556045055389404,9,1.0,1.0150697231292725
0,605568.0,0.18834061920642853,0.2643689215183258,0.2792563736438751,0.09169322997331619,11,0.0,1.1597322225570679
0,706496.0,0.1217060461640358,0.2112128734588623,0.3623877763748169,0.3501446843147278,13,1.0,1.0315364599227905
0,807424.0,0.1763484627008438,0.19810780882835388,0.25802651047706604,0.1968454122543335,15,0.0,1.320975661277771
0,908352.0,0.12344739586114883,0.339775025844574,0.4467785060405731,0.5301746726036072,17,1.0,1.0470432043075562
0,1009280.0,0.14357243478298187,0.3168247640132904,0.2802996039390564,0.38869717717170715,19,1.0,0.8737662434577942
0,1110208.0,0.2266523540019989,0.27937716245651245,0.5132278800010681,0.5211083292961121,21,0.0,1.3032816648483276
0,1211136.0,0.11650992184877396,0.3288727104663849,0.4725029468536377,0.4500747323036194,23,0.0,1.1836014986038208
0,1312064.0,0.19644488394260406,0.41491323709487915,0.5125182867050171,0.7134838104248047,25,1.0,0.8297341465950012
0,1412992.0,0.09843796491622925,0.24690492451190948,0.374264121055603,0.4197932779788971,27,0.0,1.2853449583053589
0,1513920.0,0.3164782226085663,0.28901445865631104,0.402610182762146,0.17770883440971375,29,0.0,1.2847040891647339
0,1614848.0,0.22705182433128357,0.32925286889076233,0.454340398311615,0.5509992241859436,31,1.0,0.9459868669509888
0,1715776.0,0.24243277311325073,0.46231809258461,0.4292626976966858,0.608385443687439,33,1.0,0.7864611744880676
0,1816704.0,0.08507303893566132,0.23956753313541412,0.31586122512817383,0.40295079350471497,35,1.0,0.7616183757781982
0,1917632.0,0.1539691984653473,0.16438139975070953,0.1068141758441925,0.17600993812084198,37,1.0,0.9634965062141418
0,2018560.0,0.15500417351722717,0.2094927728176117,0.18605832755565643,0.3213113844394684,39,0.0,1.343217372894287
0,2119488.0,0.2739795446395874,0.5246995091438293,0.4315052330493927,0.4545404613018036,41,1.0,0.7491747140884399
