epoch,flops,step,train_value_loss
0,54097920.0,29,0.9876936674118042
0,108195840.0,59,0.952690839767456
0,162293760.0,89,0.9720861911773682
0,216391680.0,119,0.9588544368743896
0,270489600.0,149,1.0250084400177002
0,324587520.0,179,0.9935310482978821
0,378685440.0,209,0.902147650718689
0,432783360.0,239,0.9850261211395264
0,486881280.0,269,1.0037765502929688
0,540979200.0,299,0.9321184158325195
0,595077120.0,329,0.9169595241546631
0,649175040.0,359,0.9306485652923584
0,703272960.0,389,0.8899233341217041
0,757370880.0,419,1.0361393690109253
0,811468800.0,449,0.8686740398406982
0,865566720.0,479,1.045360803604126
0,919664640.0,509,0.968901515007019
0,973762560.0,539,0.9389346837997437
0,1027860480.0,569,0.9078081846237183
0,1081958400.0,599,0.9890120029449463
0,1136056320.0,629,0.9093471765518188
0,1190154240.0,659,1.0712647438049316
0,1244252160.0,689,0.921257495880127
0,1298350080.0,719,1.0332884788513184
0,1352448000.0,749,0.9575290083885193
0,1406545920.0,779,0.8576614856719971
0,1460643840.0,809,0.8894914388656616
0,1514741760.0,839,0.889772891998291
0,1568839680.0,869,0.8685626983642578
0,1622937600.0,899,0.8718845844268799
0,1677035520.0,929,0.8598141670227051
0,1731133440.0,959,0.9304612874984741
0,1785231360.0,989,0.9159703850746155
0,1839329280.0,1019,0.923941969871521
0,1893427200.0,1049,0.9427386522293091
0,1947525120.0,1079,0.9397197961807251
0,2001623040.0,1109,0.9118934869766235
0,2055720960.0,1139,0.8441004753112793
0,2109818880.0,1169,0.8669968247413635
0,2163916800.0,1199,0.8050214052200317
0,2218014720.0,1229,0.9537490606307983
0,2272112640.0,1259,0.9189408421516418
0,2326210560.0,1289,0.8509621620178223
0,2380308480.0,1319,1.03753662109375
0,2434406400.0,1349,0.8986351490020752
0,2488504320.0,1379,0.9036210179328918
0,2542602240.0,1409,0.9602124094963074
0,2596700160.0,1439,0.8986971378326416
0,2650798080.0,1469,0.8230268359184265
0,2704896000.0,1499,0.7711737751960754
0,2758993920.0,1529,0.9853905439376831
0,2813091840.0,1559,0.890826940536499
0,2867189760.0,1589,0.9054868221282959
0,2921287680.0,1619,0.8440430164337158
0,2975385600.0,1649,0.854895293712616
0,3029483520.0,1679,0.7976551055908203
0,3083581440.0,1709,0.8788288831710815
0,3137679360.0,1739,0.9880453944206238
0,3191777280.0,1769,0.9331467151641846
0,3245875200.0,1799,0.9112746715545654
0,3299973120.0,1829,0.8668918609619141
0,3354071040.0,1859,0.9783191680908203
