epoch,flops,step,train_value_accuracy,train_value_loss
0,807424.0,0,0.1875,1.1293880939483643
0,1614848.0,1,0.1875,1.1107972860336304
0,2422272.0,2,0.15625,1.0715744495391846
0,3229696.0,3,0.734375,1.0471104383468628
0,4037120.0,4,0.71875,1.0381371974945068
0,4844544.0,5,0.796875,0.9913042783737183
0,5651968.0,6,0.8125,0.9536354541778564
0,6459392.0,7,0.625,1.0330514907836914
0,7266816.0,8,0.703125,0.9983273148536682
0,8074240.0,9,0.71875,0.9956822395324707
0,8881664.0,10,0.828125,0.9037668108940125
0,9689088.0,11,0.84375,0.9008821845054626
0,10496512.0,12,0.796875,0.8910160660743713
0,11303936.0,13,0.78125,0.9114855527877808
0,12111360.0,14,0.703125,1.0191442966461182
0,12918784.0,15,0.71875,0.9530133008956909
0,13726208.0,16,0.796875,0.9242894649505615
0,14533632.0,17,0.765625,0.9274795055389404
0,15341056.0,18,0.765625,0.9603451490402222
0,16148480.0,19,0.78125,0.9775202870368958
0,16955904.0,20,0.703125,1.0072729587554932
0,17763328.0,21,0.734375,0.966334879398346
0,18570752.0,22,0.78125,0.9360719323158264
0,19378176.0,23,0.703125,0.9918549060821533
0,20185600.0,24,0.671875,1.0079829692840576
0,20993024.0,25,0.90625,0.8882652521133423
0,21800448.0,26,0.671875,1.0237371921539307
0,22607872.0,27,0.734375,1.0015718936920166
0,23415296.0,28,0.734375,0.9777862429618835
0,24222720.0,29,0.703125,0.9561672210693359
0,25030144.0,30,0.796875,0.9397550821304321
0,25837568.0,31,0.734375,0.9695991277694702
0,26644992.0,32,0.84375,0.9002741575241089
0,27452416.0,33,0.859375,0.8672300577163696
0,28259840.0,34,0.6875,0.9353314638137817
0,29067264.0,35,0.765625,0.9413001537322998
0,29874688.0,36,0.734375,0.9484700560569763
0,30682112.0,37,0.796875,0.9138322472572327
0,31489536.0,38,0.65625,1.0194411277770996
0,32296960.0,39,0.84375,0.879753589630127
0,33104384.0,40,0.703125,1.0063271522521973
0,33911808.0,41,0.6875,1.0215498208999634
0,34719232.0,42,0.703125,0.9777728915214539
0,35526656.0,43,0.796875,0.963666558265686
0,36334080.0,44,0.734375,0.9719570875167847
0,37141504.0,45,0.78125,0.898932158946991
0,37948928.0,46,0.75,0.9254024028778076
0,38756352.0,47,0.734375,0.97547847032547
0,39563776.0,48,0.703125,0.9541869163513184
0,40371200.0,49,0.828125,0.8997889757156372
0,41178624.0,50,0.734375,0.9587318897247314
0,41986048.0,51,0.8125,0.8978683948516846
0,42793472.0,52,0.765625,0.9641830921173096
0,43600896.0,53,0.75,0.9311491250991821
0,44408320.0,54,0.734375,0.9754230976104736
0,45215744.0,55,0.71875,0.9594830870628357
0,46023168.0,56,0.78125,0.9430844783782959
0,46830592.0,57,0.84375,0.8676439523696899
0,47638016.0,58,0.640625,1.0248613357543945
0,48445440.0,59,0.75,0.9744727611541748
0,49252864.0,60,0.921875,0.8019686937332153
0,50060288.0,61,0.75,0.9654950499534607
0,50867712.0,62,0.6875,0.9892900586128235
0,51675136.0,63,0.59375,1.0560815334320068
0,52482560.0,64,0.65625,0.9915553331375122
0,53289984.0,65,0.8125,0.9317920207977295
0,54097408.0,66,0.734375,0.9601926803588867
0,54904832.0,67,0.796875,0.9461106061935425
0,55712256.0,68,0.703125,0.9805525541305542
0,56519680.0,69,0.640625,1.0140901803970337
0,57327104.0,70,0.703125,0.9606885313987732
0,58134528.0,71,0.796875,0.9434331655502319
0,58941952.0,72,0.828125,0.9190258383750916
0,59749376.0,73,0.734375,0.9495593309402466
0,60556800.0,74,0.71875,0.939630389213562
0,61364224.0,75,0.71875,0.9580971002578735
0,62171648.0,76,0.84375,0.887154221534729
0,62979072.0,77,0.71875,0.9719803333282471
0,63786496.0,78,0.75,0.9508420825004578
0,64593920.0,79,0.75,0.9730783700942993
0,65401344.0,80,0.671875,0.9915100336074829
0,66208768.0,81,0.734375,0.987829864025116
0,67016192.0,82,0.75,0.9239975214004517
0,67823616.0,83,0.84375,0.8781523108482361
0,68631040.0,84,0.734375,1.0569894313812256
0,69438464.0,85,0.65625,1.0350799560546875
0,70245888.0,86,0.828125,0.8931443691253662
0,71053312.0,87,0.734375,0.9735523462295532
0,71860736.0,88,0.703125,0.9949942231178284
0,72668160.0,89,0.796875,0.9120899438858032
0,73475584.0,90,0.671875,0.9987359046936035
0,74283008.0,91,0.796875,0.9355182647705078
0,75090432.0,92,0.71875,0.9417008757591248
0,75897856.0,93,0.703125,1.0123670101165771
0,76705280.0,94,0.703125,0.9538540244102478
0,77512704.0,95,0.734375,1.0000251531600952
0,78320128.0,96,0.65625,1.0518159866333008
0,79127552.0,97,0.828125,0.9006924629211426
0,79934976.0,98,0.78125,0.8891114592552185
0,80742400.0,99,0.78125,0.9498010873794556
0,81549824.0,100,0.78125,0.8904995918273926
0,82357248.0,101,0.734375,0.9376939535140991
0,83164672.0,102,0.796875,0.9238004684448242
0,83972096.0,103,0.78125,0.9079018831253052
0,84779520.0,104,0.734375,0.9688111543655396
0,85586944.0,105,0.78125,0.9017330408096313
0,86394368.0,106,0.734375,0.9867308139801025
0,87201792.0,107,0.765625,0.9459915161132812
0,88009216.0,108,0.75,0.9365038871765137
0,88816640.0,109,0.734375,0.9604983329772949
0,89624064.0,110,0.75,0.9833793044090271
0,90431488.0,111,0.734375,0.9648581743240356
0,91238912.0,112,0.65625,1.0066239833831787
0,92046336.0,113,0.765625,0.9164621829986572
0,92853760.0,114,0.671875,1.0118274688720703
0,93661184.0,115,0.71875,1.0008738040924072
0,94468608.0,116,0.78125,0.9362317323684692
0,95276032.0,117,0.78125,0.9434994459152222
0,96083456.0,118,0.796875,0.8927936553955078
0,96890880.0,119,0.703125,1.0125823020935059
0,97698304.0,120,0.734375,0.9883956909179688
0,98505728.0,121,0.765625,0.9097836017608643
0,99313152.0,122,0.75,0.9693046808242798
0,100120576.0,123,0.84375,0.9112731218338013
0,100928000.0,124,0.671875,0.9898881316184998
0,101735424.0,125,0.796875,0.9071430563926697
0,102542848.0,126,0.796875,0.9245110154151917
0,103350272.0,127,0.8125,0.8978010416030884
0,104157696.0,128,0.71875,0.958336591720581
0,104965120.0,129,0.765625,0.9372797012329102
0,105772544.0,130,0.828125,0.9215075969696045
0,106579968.0,131,0.890625,0.8635982275009155
0,107387392.0,132,0.71875,0.9602934122085571
0,108194816.0,133,0.75,0.959238588809967
0,109002240.0,134,0.71875,0.9660316109657288
0,109809664.0,135,0.71875,0.970253586769104
0,110617088.0,136,0.828125,0.9270851016044617
0,111424512.0,137,0.75,1.0251803398132324
0,112231936.0,138,0.703125,0.958587646484375
0,113039360.0,139,0.6875,0.9591451287269592
0,113846784.0,140,0.828125,0.8995384573936462
0,114654208.0,141,0.734375,0.9511827230453491
0,115461632.0,142,0.75,0.9613374471664429
0,116269056.0,143,0.71875,0.9353092908859253
0,117076480.0,144,0.703125,0.9566524028778076
0,117883904.0,145,0.734375,0.9821884632110596
0,118691328.0,146,0.796875,0.9277024269104004
0,119498752.0,147,0.71875,0.9832760691642761
0,120306176.0,148,0.828125,0.8938606977462769
0,121113600.0,149,0.875,0.8760460615158081
0,121921024.0,150,0.59375,1.0369689464569092
0,122728448.0,151,0.78125,0.9393872022628784
0,123535872.0,152,0.765625,0.9098004102706909
0,124343296.0,153,0.75,0.9596813917160034
0,125150720.0,154,0.765625,0.9221411347389221
0,125958144.0,155,0.6875,1.009497880935669
0,126765568.0,156,0.765625,0.9331555366516113
0,127572992.0,157,0.796875,0.9472646713256836
0,128380416.0,158,0.734375,0.9539875984191895
0,129187840.0,159,0.78125,0.9185142517089844
0,129995264.0,160,0.703125,0.9989628195762634
0,130802688.0,161,0.71875,0.9760165214538574
0,131610112.0,162,0.859375,0.8588340282440186
0,132417536.0,163,0.78125,0.9020106792449951
0,133224960.0,164,0.78125,0.9150069952011108
0,134032384.0,165,0.78125,0.9279533624649048
0,134839808.0,166,0.65625,1.0191504955291748
0,135647232.0,167,0.6875,1.0030159950256348
0,136454656.0,168,0.6875,1.0223076343536377
0,137262080.0,169,0.734375,1.0011465549468994
0,138069504.0,170,0.765625,0.9374823570251465
0,138876928.0,171,0.765625,0.9389587640762329
0,139684352.0,172,0.796875,0.9358815550804138
0,140491776.0,173,0.734375,0.9507092237472534
0,141299200.0,174,0.84375,0.885222852230072
0,142106624.0,175,0.78125,0.9207839965820312
0,142914048.0,176,0.734375,0.945921778678894
0,143721472.0,177,0.78125,0.9419500827789307
0,144528896.0,178,0.71875,0.9551752805709839
0,145336320.0,179,0.75,0.9169561862945557
0,146143744.0,180,0.65625,1.032458782196045
0,146951168.0,181,0.75,0.9826730489730835
0,147758592.0,182,0.828125,0.9059520959854126
0,148566016.0,183,0.6875,0.9947762489318848
0,149373440.0,184,0.640625,1.0416128635406494
0,150180864.0,185,0.828125,0.9367163777351379
0,150988288.0,186,0.71875,0.9763948917388916
0,151795712.0,187,0.84375,0.8400669097900391
0,152603136.0,188,0.734375,0.9597496390342712
0,153410560.0,189,0.71875,0.9580448269844055
0,154217984.0,190,0.703125,0.998191773891449
0,155025408.0,191,0.625,1.022565245628357
0,155832832.0,192,0.75,0.9778437614440918
0,156640256.0,193,0.71875,0.981121301651001
0,157447680.0,194,0.8125,0.8864444494247437
0,158255104.0,195,0.609375,1.0697078704833984
0,159062528.0,196,0.75,0.9515091180801392
0,159869952.0,197,0.625,1.0462274551391602
0,160677376.0,198,0.765625,0.9662110805511475
0,161484800.0,199,0.703125,0.984470784664154
0,162292224.0,200,0.828125,0.9194049835205078
0,163099648.0,201,0.75,0.9505724906921387
0,163907072.0,202,0.6875,1.0024614334106445
0,164714496.0,203,0.703125,0.9408168792724609
0,165521920.0,204,0.734375,0.9357024431228638
0,166329344.0,205,0.765625,0.9346288442611694
0,167136768.0,206,0.765625,0.9369434714317322
0,167944192.0,207,0.796875,0.9018644094467163
0,168751616.0,208,0.765625,0.9572294354438782
0,169559040.0,209,0.734375,0.9850274324417114
0,170366464.0,210,0.703125,1.0033714771270752
0,171173888.0,211,0.765625,0.9509632587432861
0,171981312.0,212,0.703125,1.036550521850586
0,172788736.0,213,0.75,0.9353042840957642
